YEAR,STATE,SH_ID,SH_NAME,ORG_COUNT,SH_ZIP,SH_TYPE,Beg_Ct_D,Intake_Pub_Total_D,Intake_In_Comm_Total_D,Intake_Out_Comm_Total_D,Intake_ORE_Total_D,Total_Intake_D,ORE_Intake_UU_D,Total_Intake_Adj_D,Total_Adoptions_D,Transfer_In_Comm_Total_D,Transfer_Out_Comm_Total_D,RTO_D,Return_Habitat_D,Total_Euth_D,ORE_Euth_UU_D,Total_Euth_Adj_D,Sub_Outcomes_D,Died_Lost_D,Total_Outcomes_D,End_Count_D,Begin_Count_C,Intake_Pub_Total_C,Intake_In_Comm_Total_C,Intake_Out_Comm_Total_C,Intake_ORE_Total_C,Total_Intake_C,ORE_Intake_UU_C,Total_Intake_Adj_C,Total_Adoptions_C,Transfer_In_Comm_Total_C,Transfer_Out_Comm_Total_C,RTO_C,Return_Habitat_C,Total_Euth_C,ORE_Euth_UU_C,Total_Euth_Adj_C,Sub_Outcomes_C,Died_Lost_C,Total_Outcomes_C,End_Count_C
2010,KS,MH,Mastiff Hope,1,66064,AG,2,60,81,18,0,159,0,159,160,0,0,0,0,1,0,1,161,0,161,0,0,4,0,0,0,4,0,4,4,0,0,0,0,0,0,0,4,0,4,0
2010,KS,PC,Pet Connection,1,66202,AG,54,199,204,142,0,545,0,545,530,0,8,0,0,6,0,6,544,0,544,55,27,66,48,46,0,160,0,160,175,0,2,0,0,1,0,1,178,0,178,9
2010,KS,HSGKC,Humane Society of Greater Kansas City,1,66104,AG,63,48,1234,0,0,1282,0,1282,108,393,701,0,0,54,0,54,1256,0,1256,89,52,105,530,1,0,636,0,636,243,54,304,0,0,32,0,32,633,6,639,49
2010,KS,KIC,Kitty City,1,66226,AG,11,5,3,0,0,8,0,8,8,0,11,0,0,0,0,0,19,0,19,0,43,165,15,379,0,559,0,559,438,0,0,0,0,42,0,42,480,21,501,101
2010,KS,KCKAC,Kansas City Kansas Animal Control,1,66102,AC,28,1855,0,0,0,1855,0,1855,356,1228,0,266,0,16,0,16,1866,0,1866,17,26,917,0,0,0,917,0,917,381,530,0,4,0,4,0,4,919,5,924,19
2010,KY,GCAS,Grant County Animal Shelter,1,41097,AC,42,1005,0,0,0,1005,0,1005,400,198,152,37,0,173,0,173,960,37,997,50,35,575,0,0,0,575,0,575,252,31,0,4,0,278,0,278,565,3,568,42
2010,LA,LATS,Louisiana Traditional Shelter Summary,2,70801,TS,507,3822,246,11,87,4166,99,4067,1192,50,398,508,0,2354,99,2255,4403,45,4448,126,194,2352,10,0,21,2383,21,2362,533,2,0,39,0,1890,21,1869,2443,47,2490,66
2010,LA,LAAG,Louisiana Adoption Guarantee Summary,5,70801,AG,310,1269,191,207,19,1686,19,1667,1132,23,331,12,0,90,19,71,1569,82,1651,326,346,550,155,7,8,720,8,712,586,17,2,2,0,29,8,21,628,69,697,361
2010,LA,LAAC,Louisiana Animal Control Summary,25,70801,AC,3181,37789,21550,2770,1579,63688,1984,61704,10944,1856,2168,6577,0,40834,1959,38875,60420,1328,61748,3137,2002,33375,16376,631,465,50847,1531,49316,4412,514,880,594,0,42577,1529,41048,47448,1350,48798,2520
2010,MI,GRR,Golden Retriever Rescue,1,49014,AG,0,24,0,49,0,73,0,73,66,0,7,0,0,0,0,0,73,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,MI,ACA,Alley Cat Angels,1,49017,AG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,3,0,0,159,0,159,156,3,0,0,0,0,0,0,159,0,159,0
2010,MI,HSSCM,Humane Society of South Central Michigan,1,49014,AG,41,101,0,235,37,373,37,336,225,0,18,6,0,125,37,88,337,1,338,39,37,255,0,1,66,322,66,256,171,3,0,1,0,130,66,64,239,9,248,45
2010,MI,CCAC,Calhoun County Animal Center,1,49014,AC,69,1391,0,0,0,1391,0,1391,277,5,100,378,0,660,0,660,1420,13,1433,27,59,999,0,0,0,999,0,999,170,0,46,11,0,737,0,737,964,18,982,76
2010,MS,MSAG,Mississippi Adoption Guarantee Summary,4,39201,AG,403,999,24,12,4,1039,4,1035,935,0,25,6,0,36,4,32,998,26,1024,414,195,475,13,8,1,497,1,496,459,0,0,0,0,26,1,25,484,18,502,189
2010,MS,MSTS,Mississippi Traditional Shelter Summary,13,39201,TS,1332,24916,6690,1706,262,40896,256,40640,10307,87,2251,2383,0,23704,256,23448,38476,484,38960,3012,661,15155,4242,737,70,25220,69,25151,4322,435,181,278,0,18553,69,18484,23700,333,24033,1779
2010,MS,MSAC,Mississippi Animal Control Summary,8,39201,AC,318,4623,7438,75,91,12227,48,12179,2908,126,90,1179,0,7400,48,7352,11655,300,11955,542,174,3450,3635,40,132,7257,14,7243,1628,96,72,72,0,5106,19,5087,6955,277,7232,185
2010,NC,IPS,Independent Animal Rescue,1,27709,AG,44,36,17,24,0,77,0,77,89,0,0,0,0,1,0,1,90,0,90,30,236,907,47,147,0,1101,0,1101,414,0,6,0,649,12,0,12,1081,7,1088,247
2010,NC,APS,Animal Protection Society of Durham,1,27704,AC,164,3746,0,0,66,3812,66,3746,730,18,87,461,0,2469,66,2403,3699,30,3729,174,106,2300,0,0,13,2313,13,2300,425,48,18,47,0,1732,13,1719,2257,23,2280,125
2010,NC,ACMC,Animal Center of Moore County,1,28374,AC,43,2351,0,0,0,2351,0,2351,569,0,345,202,0,1213,0,1213,2329,12,2341,53,19,1958,0,0,0,1958,0,1958,178,0,45,19,0,1686,0,1686,1928,4,1932,45
2010,NE,MVBR,Missouri Valley Boxer Rescue,1,68124,AG,3,3,0,9,0,12,0,12,14,0,0,0,0,1,0,1,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,NE,JRT,Jack Russell Terrier Rescue,1,68154,AG,11,10,0,9,0,19,0,19,16,0,0,0,0,0,0,0,16,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,NE,WNTTR,Wag N Train Terrier Rescue,1,68114,AG,0,15,0,20,0,35,0,35,26,1,1,1,0,1,0,1,30,0,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,NE,NBCR,Nebraska Border Collie Rescue,1,68123,AG,12,12,15,22,0,49,0,49,56,0,4,0,0,1,0,1,61,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,NE,BBRH,Basset & Beagle Rescue of the Heartland,1,66225,AG,21,20,0,34,0,54,0,54,63,0,0,0,0,4,0,4,67,0,67,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,NE,DRN,Doberman Rescue of Nebraska,1,68139,AG,8,16,2,44,0,62,0,62,64,1,0,0,0,0,0,0,65,0,65,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,NE,NEHS,Nebraska Humane Society,1,68134,AG,401,9373,15,199,320,9907,320,9587,3977,11,81,2761,0,2082,320,1762,8592,39,8631,1357,265,10296,0,82,148,10526,148,10378,4919,0,4,395,57,4356,148,4208,9583,90,9673,970
2010,NM,E,EnchantMutts,1,87192,AG,1,18,9,9,0,36,0,36,28,0,0,0,0,0,0,0,28,0,28,9,5,0,2,0,0,2,0,2,4,0,2,0,0,0,0,0,6,0,6,1
2010,NM,NMAF,New Mexico Animal Friends,1,87196,AG,28,62,24,31,0,117,0,117,112,0,0,0,0,4,0,4,116,0,116,29,42,18,5,0,0,23,0,23,23,0,0,0,0,0,0,0,23,0,23,42
2010,NM,PACA,People's Anti-Cruelty Association,1,87154,AG,40,79,0,11,0,90,0,90,98,0,0,0,0,0,0,0,98,0,98,32,56,259,4,6,0,269,0,269,273,0,0,3,0,0,0,0,276,4,280,45
2010,NM,AHNM,Animal Humane New Mexico,1,87111,TS,125,2850,43,719,3,3615,3,3612,2964,13,76,215,0,323,3,320,3588,19,3607,128,67,2428,96,1,0,2525,0,2525,1810,9,38,42,0,537,0,537,2436,54,2490,104
2010,NM,AAWD,Albuquerque Animal Welfare Department,1,87112,AC,331,13720,0,0,0,13720,0,13720,6567,63,70,3355,0,3669,0,3669,13724,55,13779,272,123,9713,2,0,0,9715,0,9715,3833,100,0,450,0,5131,0,5131,9514,91,9605,228
2010,NV,PNAFN,Pet Network Animal Friends of Nevada,1,89451,AG,17,77,182,0,0,259,0,259,258,0,0,0,0,4,0,4,262,1,263,13,87,55,104,0,0,159,0,159,163,0,0,0,0,15,0,15,178,1,179,70
2010,NV,NHS,Nevada Humane Society,1,89502,AG,179,1920,1670,253,0,3843,0,3843,3345,105,50,92,0,223,0,223,3815,14,3829,193,563,3191,3183,0,0,6374,0,6374,5474,216,57,102,119,201,0,201,6169,140,6309,628
2010,NV,SPCANN,SPCA of Northern Nevada,1,89570,AG,32,338,242,116,0,696,0,696,688,0,1,4,0,1,0,1,694,2,696,32,56,383,114,0,0,497,0,497,484,0,2,2,0,4,0,4,492,5,497,56
2010,NV,WCRAS,Washoe County Regional Animal Services,1,89520,AC,73,6436,0,0,90,6526,90,6436,0,2255,4,3719,0,534,90,444,6422,14,6436,68,52,4151,0,0,25,4176,25,4151,0,3550,43,290,0,257,25,232,4115,36,4151,53
2010,NY,ACCNYC,Animal Care and Control of NYC,1,10007,AC,280,10892,0,0,1406,12298,1376,10922,1919,3535,1899,1160,0,3755,1376,2379,10892,88,10980,222,550,22446,0,0,925,23371,884,22487,4814,7721,2338,394,0,7847,884,6963,22230,502,22732,305
